City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,10.66,66,100,3.13,AR,1667491311
1,rikitea,-23.1203,-134.9692,20.73,69,100,6.8,PF,1667491513
2,sibu,2.3,111.8167,23.93,98,99,0.84,MY,1667491567
3,tasiilaq,65.6145,-37.6368,1.09,98,100,5.59,GL,1667491568
4,chaplynka,46.3651,33.5403,10.33,51,11,2.22,UA,1667491568
5,smidovich,48.6,133.8167,-4.77,60,12,3.89,RU,1667491569
6,georgetown,5.4112,100.3354,27.72,86,20,2.06,MY,1667491215
7,cabo san lucas,22.8909,-109.9124,25.84,64,16,4.7,MX,1667491200
8,saskylakh,71.9167,114.0833,-11.7,93,100,4.34,RU,1667491570
9,punta arenas,-53.15,-70.9167,17.06,59,40,8.75,CL,1667491570
10,arraial do cabo,-22.9661,-42.0278,22.92,53,75,6.69,BR,1667491571
11,quatre cocos,-20.2078,57.7625,23.94,77,18,4.24,MU,1667491571
12,jamestown,42.097,-79.2353,17.23,69,0,4.12,US,1667491545
13,hobart,-42.8794,147.3294,8.36,79,21,3.6,AU,1667491555
14,spornoye,50.8448,37.2913,5.09,88,99,1.2,RU,1667491571
15,port elizabeth,-33.918,25.5701,21.72,79,6,9.2,ZA,1667491402
16,atuona,-9.8,-139.0333,24.94,77,2,5.99,PF,1667491572
17,kapaa,22.0752,-159.319,24.18,89,75,8.75,US,1667491572
18,tuktoyaktuk,69.4541,-133.0374,-15.03,90,100,6.5,CA,1667491573
19,ola,59.5833,151.2833,-4.45,76,100,7.87,RU,1667491573
20,new norfolk,-42.7826,147.0587,8.17,64,33,3.13,AU,1667491573
21,thompson,55.7435,-97.8558,-4.17,95,100,5.16,CA,1667491219
22,nuuk,64.1835,-51.7216,-1.66,69,100,4.12,GL,1667491574
23,bredasdorp,-34.5322,20.0403,18.12,93,99,6.39,ZA,1667491574
24,chuy,-33.6971,-53.4616,19.27,55,0,4.87,UY,1667491574
25,guerrero negro,27.9769,-114.0611,18.62,54,8,8.68,MX,1667491575
26,nichinan,31.6,131.3667,18.81,87,36,2.25,JP,1667491575
27,xai-xai,-25.0519,33.6442,24.26,74,98,6.52,MZ,1667491576
28,sechura,-5.5569,-80.8222,23.11,57,38,3.79,PE,1667491576
29,klaksvik,62.2266,-6.589,7.51,89,98,15.72,FO,1667491576
30,bluff,-46.6,168.3333,8.86,75,47,9.05,NZ,1667491577
31,laranjeiras do sul,-25.4078,-52.4161,18.98,47,0,1.94,BR,1667491422
32,letlhakeng,-24.0944,25.0298,28.93,33,81,4.55,BW,1667491577
33,bousso,10.4795,16.7117,31.12,22,100,3.36,TD,1667491578
34,busselton,-33.65,115.3333,14.71,89,97,3.19,AU,1667491578
35,adelaide,-34.9333,138.6,11.29,70,0,1.79,AU,1667491552
36,thomaston,32.8882,-84.3266,20.88,74,3,3.0,US,1667491405
37,asfi,32.2994,-9.2372,21.72,69,25,8.44,MA,1667491579
38,luanda,-8.8368,13.2343,26.13,79,51,4.91,AO,1667491579
39,sturgis,41.7992,-85.4192,16.89,81,0,4.12,US,1667491580
40,victoria,22.2855,114.1577,23.03,94,100,4.47,HK,1667491007
41,batemans bay,-35.7167,150.1833,11.83,81,90,2.03,AU,1667491477
42,gangtok,27.3333,88.6167,10.42,66,0,2.5,IN,1667491580
43,riyadh,24.6877,46.7219,30.08,27,70,5.74,SA,1667491050
44,coihaique,-45.5752,-72.0662,26.34,49,0,3.09,CL,1667491581
45,lebu,-37.6167,-73.65,16.13,77,50,3.96,CL,1667491434
46,cavnic,47.6667,23.8667,5.55,83,6,0.9,RO,1667491581
47,cayenne,4.9333,-52.3333,32.02,62,75,4.63,GF,1667491581
48,puerto ayora,-0.7393,-90.3518,23.98,78,92,5.03,EC,1667491582
49,esperance,-33.8667,121.9,15.64,77,98,9.05,AU,1667491582
50,port alfred,-33.5906,26.891,18.99,87,44,2.68,ZA,1667491582
51,cape town,-33.9258,18.4232,21.73,67,17,7.15,ZA,1667491500
52,castro,-24.7911,-50.0119,16.76,53,61,2.69,BR,1667491310
53,praia da vitoria,38.7333,-27.0667,20.14,100,75,6.0,PT,1667491583
54,haimen,23.1935,116.6142,22.26,91,100,4.68,CN,1667491583
55,cockburn town,21.4612,-71.1419,26.89,65,89,5.58,TC,1667491332
56,ribeira grande,38.5167,-28.7,19.87,94,75,4.63,PT,1667491584
57,mizan teferi,6.9833,35.5833,17.06,91,25,1.18,ET,1667491584
58,maravilha,-26.7608,-53.1725,19.23,55,0,1.82,BR,1667491438
59,nikolskoye,59.7035,30.7861,1.94,79,100,1.51,RU,1667491342
60,belmonte,-15.8631,-38.8828,23.8,81,100,8.15,BR,1667491585
61,meulaboh,4.1363,96.1285,24.02,97,100,3.66,ID,1667491585
62,popondetta,-8.7537,148.2534,23.34,94,100,1.42,PG,1667491585
63,hermanus,-34.4187,19.2345,19.33,92,95,6.42,ZA,1667491586
64,gat,31.61,34.7642,22.38,100,4,3.66,IL,1667491586
65,matagami,49.7502,-77.6328,12.26,61,99,6.28,CA,1667491587
66,vaini,-21.2,-175.2,24.09,88,75,3.09,TO,1667491587
67,lwowek slaski,51.1107,15.5858,12.71,68,99,2.68,PL,1667491587
68,makakilo city,21.3469,-158.0858,25.01,79,0,2.57,US,1667491587
